CellPhone,EyeColor,ColorBlind,Gender,HairColor,HairLength,Wet,Lather,Rinse,YearinSchool,Age,BirthWeight(oz),Height(in),IdealHeight,IdealEyeColor,IdealHairColor,CreditHours,SchoolWork,OffCampusWork,OnCampusWork,FromIowa?,FromUS?,States,Countries,Living
I own a cell phone that is a smartphone.,Hazel/Green,No,Male,Brown,Medium,Toward the shower,Away from the shower,Toward the shower,Junior,20,104,73,65,Hazel/Green,Blond,16,20,None,11 - 20 hours,No,Yes,10,2,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Male,Brown,Short,Toward the shower,Away from the shower,Toward the shower,Sophomore,19,104,68,66,No preference,Brown,16,15,None,None,Yes,Yes,15,1,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Blond,Long,Away from the shower,Away from the shower,Away from the shower,Senior,21,104,63,68,No preference,No Preference,13,10,11 - 20 hours,None,Yes,Yes,13,1,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Male,Blond,Short,Toward the shower,Away from the shower,Toward the shower,Sophomore,19,104,74,68,No preference,Brown,16.5,5,None,None,No,Yes,7,2,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Blond,Long,Away from the shower,Toward the shower,Away from the shower,Senior,21,104,65,72,No preference,Brown,18,20,1 - 10 hours,None,No,Yes,19,2,Off-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Blond,Medium,Away from the shower,Toward the shower,Away from the shower,Senior,22,104,65,72,Brown,Brown,16,17,21 - 30 hours,1 - 10 hours,Yes,Yes,10,1,Off-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Female,Brown,Long,Away from the shower,Away from the shower,Away from the shower,Sophomore,20,104,66,72,Hazel/Green,Brown,16,16,None,None,No,Yes,12,10,Fraternity/Sorority housing
I own a cell phone that is a smartphone.,Brown,No,Female,Blond,Long,Toward the shower,Away from the shower,Toward the shower,Junior,20,104,68,72,No preference,No Preference,15,21,None,None,Yes,Yes,16,9,Off-campus housing
,Brown,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Junior,20,104,63,73,Blue,Brown,16,,None,11 - 20 hours,No,Yes,15,1,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Brown,Long,Away from the shower,Away from the shower,Away from the shower,Sophomore,19,104,67,73,Brown,Brown,15,20,None,None,No,Yes,20,3,On-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Long,Other,Other,Other,Junior,20,104,69,73,Blue,Blond,17,12,None,1 - 10 hours,No,Yes,40,2,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Medium,Away from the shower,Away from the shower,Away from the shower,Junior,20,104,62,74,Blue,No Preference,16,13,21 - 30 hours,None,No,Yes,9,1,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Long,Away from the shower,Away from the shower,Away from the shower,Junior,20,104,62,74,Blue,Brown,13,20,None,1 - 10 hours,No,Yes,15,1,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Blond,Long,Away from the shower,Away from the shower,Away from the shower,Sophomore,19,104,63,74,No preference,Brown,14,5,None,None,Yes,Yes,17,11,Off-campus housing
I own a cell phone that is a smartphone.,Blue,,Female,Brown,Medium,Toward the shower,Toward the shower,Away from the shower,Junior,20,104,63,74,Blue,Brown,17,17,1 - 10 hours,None,Yes,Yes,22,2,Fraternity/Sorority housing
I own a cell phone that is a smartphone.,Blue,No,Female,Brown,Medium,Away from the shower,Away from the shower,Away from the shower,Junior,21,104,64,74,No preference,No Preference,15,15,None,None,Yes,Yes,10,2,On-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Female,Other,Medium,Other,Away from the shower,Other,Junior,20,104,70,75,Blue,No Preference,16,8,1 - 10 hours,1 - 10 hours,Yes,Yes,37,12,Off-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Female,Red,Long,Away from the shower,Away from the shower,Away from the shower,Sophomore,19,104,69,76,Hazel/Green,Brown,18,21,None,None,No,Yes,16,0,Fraternity/Sorority housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,105,64,71,No preference,Brown,18,11,None,1 - 10 hours,No,No,22,2,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Male,Brown,Medium,Away from the shower,Away from the shower,Toward the shower,Junior,20,105,68,62,Blue,Brown,14,10,None,None,No,Yes,18,1,Fraternity/Sorority housing
I own a cell phone that is a smartphone.,Brown,No,Male,Black,Short,Away from the shower,Away from the shower,Toward the shower,Sophomore,19,105,67,64,No preference,Blond,16,10,None,None,Yes,Yes,24,3,On-campus housing
I own a cell phone that is a smartphone.,Brown,No,Male,Blond,Short,Toward the shower,Away from the shower,Toward the shower,Junior,21,105,69,65,Brown,Blond,14,3,11 - 20 hours,None,Yes,Yes,38,4,Off-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Junior,20,105,62,72,No preference,Brown,16,25,None,None,No,Yes,22,3,Fraternity/Sorority housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Senior,21,105,63,76,Hazel/Green,Black,17,28,None,None,Yes,Yes,33,10,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,112,66,71,No preference,Brown,17,15,21 - 30 hours,None,Yes,Yes,13,3,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Male,Black,Short,Toward the shower,Away from the shower,Toward the shower,Junior,20,112,65,65,Hazel/Green,Brown,17,13,None,1 - 10 hours,No,Yes,18,1,On-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Male,Brown,Short,Toward the shower,Away from the shower,Toward the shower,Junior,20,112,69,66,Blue,No Preference,16,8,None,11 - 20 hours,No,Yes,20,2,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Medium,Toward the shower,Away from the shower,Toward the shower,Senior,21,112,61,68,Brown,Brown,16,8,None,None,No,Yes,8,2,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Male,Brown,Short,Toward the shower,Away from the shower,Toward the shower,Junior,20,112,69,69,Blue,Blond,18,20,None,None,Yes,Yes,26,11,On-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Long,Away from the shower,Away from the shower,Away from the shower,Sophomore,19,112,63,72,Hazel/Green,Black,14,4,None,None,Yes,Yes,10,0,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Medium,Away from the shower,Away from the shower,Away from the shower,Freshman,18,112,68,72,Hazel/Green,No Preference,14,20,None,None,Yes,Yes,40,3,On-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Junior,20,112,69,72,No preference,No Preference,16,6,1 - 10 hours,None,Yes,Yes,20,2,Off-campus housing
I own a cell phone that is a smartphone.,Other,No,Female,Black,Long,Away from the shower,Away from the shower,Away from the shower,Junior,19,112,65,73,Brown,Black,18,40,None,1 - 10 hours,No,No,10,2,Off-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Brown,Long,Away from the shower,Away from the shower,Away from the shower,Junior,19,112,67,74,No preference,Brown,16,5,11 - 20 hours,None,No,Yes,12,7,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Male,Black,Medium,Away from the shower,Away from the shower,Toward the shower,Sophomore,18,113,70,66,Brown,Brown,14,16,None,None,No,Yes,24,1,On-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,113,64,72,Blue,Black,14,20,None,1 - 10 hours,Yes,Yes,8,1,On-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Female,Blond,Medium,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,113,66,73,Brown,Brown,16,10,None,None,No,Yes,12,2,Fraternity/Sorority housing
I own a cell phone that is a smartphone.,Brown,No,Male,Brown,Short,Toward the shower,Away from the shower,Toward the shower,Junior,21,122,70,67,Blue,No Preference,16,25,11 - 20 hours,None,Yes,Yes,15,1,Off-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Female,Blond,Short,Toward the shower,Away from the shower,Away from the shower,Junior,20,122,68,75,No preference,No Preference,18,2,None,11 - 20 hours,Yes,Yes,43,6,Off-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Female,Blond,Long,Away from the shower,Away from the shower,Other,Junior,20,122,70,77,Blue,Brown,15,5,None,None,No,Yes,7,5,Off-campus housing
I own a cell phone that is not a smartphone.,Brown,No,Female,Brown,Medium,Away from the shower,Toward the shower,Away from the shower,Senior,21,123,66,70,No preference,Other,15,20,None,None,Yes,Yes,19,3,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Male,Black,Short,Toward the shower,Away from the shower,Toward the shower,Senior,26,123,68,62,No preference,No Preference,16,5,21 - 30 hours,None,Yes,Yes,15,3,Off-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Female,Brown,Medium,Away from the shower,Toward the shower,Away from the shower,Sophomore,18,123,61,66,Brown,Brown,12,15,11 - 20 hours,None,Yes,Yes,18,1,Off-campus housing
I own a cell phone that is a smartphone.,Blue,No,Male,Brown,Short,Toward the shower,Away from the shower,Toward the shower,Other,27,123,70,69,Brown,Blond,11,6,More than 30 hours,None,Yes,Yes,17,2,Living at home with family
I own a cell phone that is a smartphone.,Hazel/Green,No,Male,Black,Short,Toward the shower,Toward the shower,Toward the shower,Sophomore,20,123,72,69,No preference,Brown,15,12,1 - 10 hours,None,Yes,Yes,11,1,Off-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Female,Red,Long,Away from the shower,Away from the shower,Toward the shower,Sophomore,19,123,65,72,Blue,Red,16,30,11 - 20 hours,None,No,Yes,16,0,Off-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Blond,Medium,Toward the shower,Toward the shower,Away from the shower,Junior,20,123,66,74,Hazel/Green,Brown,14,10,11 - 20 hours,None,Yes,Yes,12,1,Off-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Red,Long,Away from the shower,Away from the shower,Away from the shower,Senior,21,123,70,75,No preference,No Preference,16,20,21 - 30 hours,None,Yes,Yes,40,1,On-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,123,72,75,Brown,Brown,14,40,None,None,No,Yes,18,0,On-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Black,Long,Away from the shower,Away from the shower,Away from the shower,Sophomore,19,123,67,,No preference,No Preference,16,20,None,None,No,No,4,3,Off-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Freshman,18,124,69,71,No preference,No Preference,17,8,None,None,Yes,Yes,20,4,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Blond,Long,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,124,60,66,Brown,Black,16,5,1 - 10 hours,None,No,Yes,12,1,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Male,Blond,Short,Toward the shower,Away from the shower,Toward the shower,Junior,21,124,69,66,Hazel/Green,Brown,15,20,21 - 30 hours,None,Yes,Yes,13,1,Living at home with family
I own a cell phone that is a smartphone.,Hazel/Green,No,Female,Blond,Medium,Away from the shower,Toward the shower,Away from the shower,Sophomore,20,124,66,72,Hazel/Green,No Preference,16,6,None,None,Yes,Yes,12,0,On-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,124,67,72,Blue,Brown,16,8,None,None,No,Yes,23,1,Fraternity/Sorority housing
I own a cell phone that is a smartphone.,Brown,No,Female,Red,Medium,Away from the shower,Away from the shower,Toward the shower,Sophomore,19,125,66,70,Hazel/Green,Black,15,10,1 - 10 hours,11 - 20 hours,Yes,Yes,12,1,Off-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Junior,20,125,65,72,No preference,No Preference,16,12,None,11 - 20 hours,Yes,Yes,15,4,Off-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Male,Brown,Short,Toward the shower,Toward the shower,Toward the shower,Senior,26,125,68,,Blue,Blond,15,8,1 - 10 hours,None,No,Yes,18,7,Off-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Male,Brown,Short,Toward the shower,Toward the shower,Away from the shower,Junior,20,126,69,70,No preference,No Preference,17,25,None,None,No,Yes,10,1,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Medium,Away from the shower,Toward the shower,Away from the shower,Junior,19,126,63,73,Brown,Brown,16,30,None,11 - 20 hours,Yes,Yes,11,1,Off-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Blond,Medium,Away from the shower,Toward the shower,Away from the shower,Junior,20,127,67,71,No preference,No Preference,16,20,None,None,No,Yes,40,4,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Black,Medium,Toward the shower,Away from the shower,Toward the shower,Senior,21,114,64,70,Blue,Brown,18,10,21 - 30 hours,None,Yes,Yes,11,7,Off-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Blond,Medium,Away from the shower,Away from the shower,Away from the shower,Sophomore,19,114,67,70,Blue,Brown,16,40,None,None,Yes,Yes,12,0,On-campus housing
I own a cell phone that is not a smartphone.,Hazel/Green,No,Male,Brown,Short,Toward the shower,Toward the shower,Toward the shower,Junior,20,114,75,70,Brown,Black,16,9,None,None,Yes,Yes,6,2,Fraternity/Sorority housing
I do not own a cell phone.,Blue,No,Female,Blond,Short,Toward the shower,Away from the shower,Away from the shower,Junior,20,114,61,71,No preference,Black,15,7,None,11 - 20 hours,Yes,Yes,12,4,On-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Male,Brown,Medium,Toward the shower,Away from the shower,Toward the shower,Junior,20,114,75,65,Blue,No Preference,16,10,None,None,No,Yes,15,0,Fraternity/Sorority housing
I own a cell phone that is a smartphone.,Blue,No,Female,Blond,Medium,Away from the shower,Toward the shower,Away from the shower,Junior,20,114,63,66,Blue,Brown,16,21,11 - 20 hours,None,No,Yes,13,6,Off-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,114,63,68,Other,Other,15,3,None,None,Yes,Yes,19,1,On-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,114,63,69,Brown,Brown,19,30,21 - 30 hours,None,Yes,Yes,20,2,On-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Male,Brown,Short,Away from the shower,Away from the shower,Toward the shower,Senior,21,114,73,72,Brown,Brown,17,5,11 - 20 hours,None,Yes,Yes,25,1,Off-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Junior,21,114,64,73,No preference,Brown,14,6,None,None,Yes,Yes,13,4,Off-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Female,Blond,Long,Away from the shower,Toward the shower,Away from the shower,Junior,20,114,66,74,No preference,Brown,13,8,None,11 - 20 hours,Yes,Yes,15,0,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Medium,Away from the shower,Away from the shower,Away from the shower,Junior,21,114,65,75,Brown,Brown,17,5,11 - 20 hours,None,Yes,Yes,15,1,Off-campus housing
I own a cell phone that is not a smartphone.,Blue,No,Female,Blond,Long,Away from the shower,Away from the shower,Away from the shower,Sophomore,19,114,66,75,Brown,Brown,18,21,None,None,Yes,Yes,25,1,Off-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Female,Brown,Medium,Away from the shower,Away from the shower,Away from the shower,Sophomore,19,114,64,78,Hazel/Green,Black,14,15,None,None,Yes,Yes,10,1,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Medium,Away from the shower,Away from the shower,Away from the shower,Sophomore,19,,64,68,Brown,Brown,17,30,None,None,Yes,Yes,10,1,Fraternity/Sorority housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Male,Brown,Medium,Toward the shower,Away from the shower,Toward the shower,Junior,21,115,74,70,Hazel/Green,No Preference,15,9,None,None,Yes,Yes,9,2,Fraternity/Sorority housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Short,Away from the shower,Away from the shower,Away from the shower,Sophomore,19,115,63,62,No preference,No Preference,16,6,None,11 - 20 hours,No,Yes,10,1,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,115,62,65,Hazel/Green,Brown,17,15,None,None,Yes,Yes,10,3,Fraternity/Sorority housing
I own a cell phone that is a smartphone.,Brown,No,Male,Black,Short,Toward the shower,Away from the shower,Toward the shower,Sophomore,19,115,70,68,No preference,No Preference,16,10,21 - 30 hours,1 - 10 hours,No,Yes,30,2,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Male,Brown,Short,Away from the shower,Away from the shower,Away from the shower,Sophomore,20,115,70,68,Blue,Blond,10,20,None,None,Yes,Yes,9,3,Off-campus housing
I own a cell phone that is a smartphone.,Blue,No,Male,Brown,Short,Toward the shower,Away from the shower,Toward the shower,Junior,20,115,71,69,Blue,Blond,15,8,1 - 10 hours,None,Yes,Yes,8,1,Fraternity/Sorority housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Medium,Other,,Away from the shower,Other,21,115,63,69,No preference,No Preference,15,13,11 - 20 hours,None,No,Yes,15,0,
I own a cell phone that is a smartphone.,Blue,No,Female,Blond,Long,Away from the shower,Away from the shower,Away from the shower,Junior,20,115,62,72,No preference,No Preference,16,20,None,None,No,Yes,37,3,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Black,Long,Away from the shower,Toward the shower,Away from the shower,Junior,20,115,63,72,No preference,Brown,16,30,None,1 - 10 hours,No,No,7,16,On-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Female,Blond,Medium,Away from the shower,Toward the shower,Away from the shower,Other,21,115,63,72,No preference,Brown,16,15,11 - 20 hours,None,No,Yes,20,8,Off-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Female,Brown,Long,Away from the shower,Away from the shower,Away from the shower,Senior,21,115,64,72,Blue,Brown,16,7,21 - 30 hours,None,Yes,Yes,20,10,Off-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Female,Blond,Long,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,115,64,72,No preference,No Preference,16,10,1 - 10 hours,None,Yes,Yes,19,4,Off-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Blond,Long,Away from the shower,Away from the shower,Away from the shower,Junior,20,115,69,72,Blue,Blond,15,3,None,11 - 20 hours,No,Yes,18,3,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Long,Away from the shower,Away from the shower,Away from the shower,Sophomore,19,115,64,74,Brown,Brown,16,5,None,None,Yes,Yes,18,2,Off-campus housing
I own a cell phone that is not a smartphone.,Blue,No,Female,Blond,Long,Away from the shower,Toward the shower,Away from the shower,Junior,20,115,64,74,No preference,No Preference,13,5,More than 30 hours,None,Yes,Yes,14,2,Living at home with family
I own a cell phone that is not a smartphone.,Blue,No,Female,Blond,Long,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,115,66,75,Blue,Blond,16,25,None,None,Yes,Yes,15,1,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,115,68,77,Hazel/Green,Blond,13,30,11 - 20 hours,None,Yes,Yes,27,6,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Black,Medium,Away from the shower,Away from the shower,Away from the shower,Sophomore,20,116,63,70,Brown,Black,17,30,None,None,No,No,8,3,On-campus housing
I own a cell phone that is not a smartphone.,Hazel/Green,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,116,64,70,Hazel/Green,Blond,16,14,None,None,Yes,Yes,10,0,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Blond,Long,Away from the shower,Away from the shower,Away from the shower,Sophomore,19,116,67,71,No preference,No Preference,17,20,None,None,Yes,Yes,13,2,Off-campus housing
I own a cell phone that is a smartphone.,Blue,No,Male,Brown,Medium,Toward the shower,Away from the shower,Away from the shower,Sophomore,19,116,71,64,No preference,Brown,14,18,1 - 10 hours,11 - 20 hours,No,Yes,15,4,Off-campus housing
I own a cell phone that is not a smartphone.,Blue,No,Male,Brown,Short,Away from the shower,Away from the shower,Away from the shower,Sophomore,19,116,69,64,Brown,Brown,17,4,None,11 - 20 hours,Yes,Yes,11,1,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Male,Brown,Short,Away from the shower,Away from the shower,Away from the shower,Junior,20,116,73,65,Blue,Brown,16,40,None,None,No,Yes,7,1,Fraternity/Sorority housing
I own a cell phone that is a smartphone.,Blue,No,Male,Brown,Short,Toward the shower,Away from the shower,,Sophomore,19,116,71,66,No preference,Blond,16.5,20,None,None,No,Yes,22,4,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Male,Blond,Short,Away from the shower,Away from the shower,Toward the shower,Freshman,17,116,72,66,No preference,No Preference,15,15,None,None,Yes,Yes,16,0,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Blond,Long,Toward the shower,Away from the shower,Away from the shower,Junior,20,116,52,72,Blue,No Preference,16,20,11 - 20 hours,None,Yes,Yes,15,5,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Blond,Long,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,116,70,72,No preference,No Preference,18,35,1 - 10 hours,11 - 20 hours,No,Yes,25,3,On-campus housing
I own a cell phone that is a smartphone.,Other,No,Female,Blond,Long,Away from the shower,Away from the shower,Away from the shower,Sophomore,19,116,62,72,Blue,Blond,15,10,None,None,No,Yes,13,4,Fraternity/Sorority housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,116,64,72,Blue,Black,16,35,1 - 10 hours,None,No,Yes,15,1,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Blond,Medium,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,116,65,72,Blue,Brown,15,30,None,None,No,Yes,15,0,Fraternity/Sorority housing
I own a cell phone that is a smartphone.,Blue,No,Female,Brown,Long,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,116,66,72,Brown,Brown,14,12,21 - 30 hours,None,Yes,Yes,7,2,Off-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Blond,Long,Away from the shower,Away from the shower,Away from the shower,Junior,20,116,64,74,Brown,Brown,16,24,21 - 30 hours,1 - 10 hours,Yes,Yes,5,1,On-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Female,Red,Long,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,116,67,74,Blue,Brown,13,25,1 - 10 hours,11 - 20 hours,Yes,Yes,9,1,Off-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Blond,Long,Away from the shower,Away from the shower,Away from the shower,Junior,21,116,68,75,Blue,Blond,16,12,11 - 20 hours,None,Yes,Yes,17,6,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Black,Medium,Away from the shower,Away from the shower,Away from the shower,Sophomore,21,117,61,72,Brown,Brown,13,5,None,1 - 10 hours,No,No,30,8,Off-campus housing
I own a cell phone that is not a smartphone.,Blue,No,Female,Brown,Long,Toward the shower,Away from the shower,Away from the shower,Sophomore,20,117,60,65,No preference,No Preference,16,64,11 - 20 hours,None,Yes,Yes,8,1,On-campus housing
I own a cell phone that is a smartphone.,Brown,No,Male,Brown,Short,Away from the shower,Away from the shower,Away from the shower,Sophomore,19,117,70,65,Blue,Blond,16,10,1 - 10 hours,None,Yes,Yes,20,0,Fraternity/Sorority housing
I own a cell phone that is a smartphone.,Blue,No,Male,Brown,Short,Away from the shower,Away from the shower,Away from the shower,Sophomore,20,117,70,67,No preference,Blond,16,8,None,None,Yes,Yes,20,2,Off-campus housing
I own a cell phone that is a smartphone.,Other,No,Female,Brown,Medium,Away from the shower,Toward the shower,Away from the shower,Junior,20,117,60,68,Brown,Brown,14,5,None,None,Yes,Yes,8,1,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Blond,Short,Away from the shower,Away from the shower,Away from the shower,Junior,20,117,63,72,No preference,No Preference,16,20,None,1 - 10 hours,No,Yes,28,4,On-campus housing
I own a cell phone that is a smartphone.,Hazel/Green,No,Female,Brown,Long,Away from the shower,Away from the shower,Away from the shower,Sophomore,19,117,63,73,Brown,Brown,15,20,1 - 10 hours,1 - 10 hours,Yes,Yes,19,1,Fraternity/Sorority housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Medium,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,117,69,74,No preference,No Preference,13,13,None,None,Yes,Yes,12,1,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Black,Long,Away from the shower,Away from the shower,Away from the shower,Senior,21,117,70,75,Blue,Brown,16,10,21 - 30 hours,None,Yes,Yes,10,2,On-campus housing
I own a cell phone that is not a smartphone.,Blue,No,Female,Brown,Long,Away from the shower,Away from the shower,Away from the shower,Senior,21,117,68,76,Blue,Black,16,10,None,1 - 10 hours,Yes,Yes,10,1,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Long,Away from the shower,Away from the shower,Away from the shower,Sophomore,19,118,62,70,No preference,Brown,14,12,None,None,Yes,Yes,10,2,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Black,Long,Away from the shower,Toward the shower,Away from the shower,Sophomore,19,118,65,70,Blue,Blond,19,14,None,11 - 20 hours,No,Yes,25,7,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Blond,Long,Away from the shower,Away from the shower,Away from the shower,Senior,21,118,66,71,Blue,Brown,12,,11 - 20 hours,None,Yes,Yes,5,0,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Male,Brown,Medium,Away from the shower,Toward the shower,Away from the shower,Junior,20,118,72,63,No preference,Brown,15,25,None,None,Yes,Yes,14,1,On-campus housing
I own a cell phone that is a smartphone.,Brown,No,Male,Brown,Short,Toward the shower,Away from the shower,Away from the shower,Sophomore,19,118,71,64,No preference,Brown,15,5,None,21 - 30 hours,No,Yes,8,2,Off-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Medium,Away from the shower,Away from the shower,Away from the shower,Junior,20,118,63,66,Hazel/Green,Blond,16,4,11 - 20 hours,None,Yes,Yes,6,1,On-campus housing
I own a cell phone that is a smartphone.,Brown,No,Female,Brown,Long,Away from the shower,Away from the shower,Away from the shower,Sophomore,19,118,65,67,Hazel/Green,Black,16,20,None,None,Yes,Yes,5,1,On-campus housing
I own a cell phone that is a smartphone.,Brown,Yes,Male,Black,Medium,Toward the shower,Toward the shower,Toward the shower,Sophomore,19,118,72,67,Hazel/Green,Brown,16,3,None,None,Yes,Yes,9,1,On-campus housing
I own a cell phone that is a smartphone.,Blue,No,Female,Blond,Long,Away from the shower,Away from the shower,Away from the shower,Sophomore,19,118,63,68,Brown,Brown,17,25,None,None,Yes,Yes,14,1,Off-campus housing
